                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                0.78359,                0.64422,                 1.1302,                0.88857,                0.74098,                0.81252,                0.51337,                 1.2603,                0.70509,                 1.4919,             0.00050901,             0.00050901,             0.00050901
                     32,                0.77747,                0.62998,                 1.1188,                0.91597,                0.72119,                0.80725,                  0.527,                 1.2344,                0.71603,                 1.4569,             0.00050194,             0.00050194,             0.00050194
                     33,                 0.7752,                0.63049,                 1.1194,                0.90658,                0.74641,                0.82297,                0.53634,                 1.2437,                0.71063,                 1.4415,             0.00049487,             0.00049487,             0.00049487
                     34,                0.75035,                0.59832,                 1.1056,                0.90012,                0.74875,                0.81861,                 0.5404,                 1.2337,                0.69544,                 1.4325,              0.0004878,              0.0004878,              0.0004878
                     35,                0.74581,                0.60668,                 1.1063,                 0.8731,                0.77827,                0.82391,                0.52776,                 1.2593,                0.73928,                 1.4845,             0.00048074,             0.00048074,             0.00048074
                     36,                0.73913,                0.58352,                 1.0941,                0.88884,                 0.7869,                0.83616,                0.54245,                 1.2237,                0.69817,                 1.4881,             0.00047367,             0.00047367,             0.00047367
                     37,                0.74143,                0.59164,                 1.0976,                0.89172,                0.77102,                0.83241,                0.54681,                 1.2061,                0.68102,                 1.4378,              0.0004666,              0.0004666,              0.0004666
                     38,                 0.7276,                0.57816,                 1.0859,                0.89867,                 0.7716,                0.83415,                0.54811,                 1.1942,                0.69105,                 1.4351,             0.00045953,             0.00045953,             0.00045953
                     39,                0.73553,                0.57827,                  1.094,                0.91008,                0.75393,                0.83594,                0.54493,                 1.2112,                0.65269,                  1.448,             0.00045246,             0.00045246,             0.00045246
                      1,                 1.2503,                 1.6987,                 1.4666,                0.52715,                0.44972,                0.43287,                0.18997,                 2.0074,                 2.3814,                 2.0245,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.2771,                 1.5979,                 1.4859,                0.59485,                0.40146,                0.41531,                0.18047,                 2.0387,                 2.2196,                 2.1246,             0.00047056,             0.00047056,             0.00047056
                      3,                 1.2694,                 1.5558,                 1.4784,                0.54508,                0.48443,                0.48605,                0.22135,                 1.9735,                 1.9679,                  2.156,             0.00069915,             0.00069915,             0.00069915
                      4,                 1.2282,                 1.4814,                 1.4566,                0.61238,                0.52791,                0.55264,                0.26389,                 1.8513,                 1.7853,                 1.9852,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.1817,                 1.3949,                 1.4142,                0.64595,                0.51851,                0.55253,                0.24299,                 1.9874,                 1.6316,                 2.1518,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1496,                 1.2826,                 1.3905,                0.71011,                0.58299,                0.63475,                0.31782,                  1.751,                  1.463,                 1.8902,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1229,                 1.2392,                  1.365,                0.75759,                0.60608,                0.64544,                0.29903,                 1.8838,                 1.3382,                 2.0038,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.0921,                 1.1816,                 1.3514,                0.76323,                0.61039,                0.65778,                0.30465,                 1.8733,                 1.2905,                 1.9862,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.0713,                  1.143,                  1.339,                0.77774,                0.61531,                0.66773,                0.32864,                 1.7827,                 1.2456,                 1.8702,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0499,                  1.074,                 1.3172,                0.75219,                0.63304,                0.67904,                0.34487,                 1.6776,                 1.1993,                 1.8039,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0375,                 1.0354,                 1.3043,                0.80935,                 0.6383,                0.70983,                0.35653,                 1.7353,                 1.1319,                 1.8559,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.0083,                 0.9978,                 1.2845,                0.82636,                0.63793,                0.71097,                0.38042,                 1.6027,                 1.0338,                 1.7611,             0.00064331,             0.00064331,             0.00064331
                     13,                0.99667,                0.95487,                 1.2746,                0.79908,                0.65124,                0.71064,                0.36449,                 1.6583,                 1.0923,                 1.8205,             0.00063625,             0.00063625,             0.00063625
                     14,                0.97319,                0.93525,                 1.2604,                0.80946,                0.68592,                0.74809,                0.38743,                 1.6409,                0.99736,                 1.8022,             0.00062918,             0.00062918,             0.00062918
                     15,                0.96024,                0.89887,                 1.2512,                0.85692,                 0.6533,                0.73982,                0.42129,                 1.4919,                0.99194,                 1.6836,             0.00062211,             0.00062211,             0.00062211
                     16,                0.94126,                0.87295,                 1.2365,                0.81039,                0.69253,                0.75229,                0.43034,                 1.5061,                0.96666,                   1.71,             0.00061504,             0.00061504,             0.00061504
                     17,                 0.9334,                0.85482,                 1.2311,                0.82924,                0.65481,                0.72466,                0.42504,                 1.4984,                 1.0261,                 1.7128,             0.00060797,             0.00060797,             0.00060797
                     18,                0.93731,                0.84206,                 1.2257,                0.87476,                0.69532,                0.77715,                0.42245,                  1.621,                0.90112,                 1.7519,              0.0006009,              0.0006009,              0.0006009
                     19,                0.90559,                0.80284,                  1.208,                 0.8421,                0.70635,                0.77332,                0.44536,                  1.457,                0.88375,                 1.6497,             0.00059383,             0.00059383,             0.00059383
                     20,                0.88671,                 0.7784,                 1.1972,                0.85136,                0.70751,                0.77599,                0.44711,                 1.4435,                0.91075,                  1.623,             0.00058677,             0.00058677,             0.00058677
                     21,                0.89416,                0.79033,                 1.1993,                0.86937,                0.69813,                0.78316,                 0.4532,                 1.4707,                0.88189,                 1.6656,              0.0005797,              0.0005797,              0.0005797
                     22,                0.87581,                0.76645,                 1.1875,                0.84778,                0.69269,                0.77904,                0.46199,                 1.4359,                0.85651,                 1.5997,             0.00057263,             0.00057263,             0.00057263
                     23,                0.86913,                0.75004,                 1.1805,                0.86505,                0.72809,                0.79064,                0.45844,                 1.4752,                0.83656,                 1.6593,             0.00056556,             0.00056556,             0.00056556
                     24,                0.84699,                0.72616,                 1.1659,                0.84558,                0.74264,                0.80868,                0.48992,                 1.3456,                0.80636,                 1.5672,             0.00055849,             0.00055849,             0.00055849
                     25,                0.84138,                0.71427,                 1.1613,                0.91109,                0.72405,                0.81239,                0.48718,                 1.3904,                0.79249,                 1.5729,             0.00055142,             0.00055142,             0.00055142
                     26,                0.83526,                0.70222,                 1.1602,                0.89341,                0.70992,                0.79333,                0.50235,                 1.2492,                0.77414,                  1.498,             0.00054435,             0.00054435,             0.00054435
                     27,                0.82615,                0.69678,                 1.1535,                0.87045,                0.73214,                 0.7988,                0.47534,                 1.4209,                0.78105,                 1.5966,             0.00053728,             0.00053728,             0.00053728
                     28,                0.81579,                0.68304,                 1.1466,                 0.9105,                 0.7169,                0.79887,                0.50575,                 1.2818,                0.75926,                 1.4567,             0.00053022,             0.00053022,             0.00053022
                     29,                0.81862,                0.67477,                 1.1483,                0.91329,                0.72095,                0.82173,                0.51853,                    1.3,                0.71925,                 1.4938,             0.00052315,             0.00052315,             0.00052315
                     30,                0.79896,                0.66465,                 1.1392,                0.90944,                0.72704,                0.81457,                0.52119,                 1.2742,                0.73846,                 1.4573,             0.00051608,             0.00051608,             0.00051608
                     31,                0.78268,                0.64354,                  1.131,                0.88357,                 0.7313,                0.81539,                0.51655,                  1.292,                0.69025,                 1.5113,             0.00050901,             0.00050901,             0.00050901
                     32,                0.77646,                0.62718,                 1.1179,                0.85393,                0.74342,                0.81242,                0.52898,                 1.2459,                0.71109,                 1.4473,             0.00050194,             0.00050194,             0.00050194
                     33,                0.75876,                0.61213,                 1.1137,                0.89896,                0.75976,                0.84023,                0.53836,                 1.2524,                0.67747,                  1.468,             0.00049487,             0.00049487,             0.00049487
                     34,                0.75729,                0.61257,                 1.1079,                 0.9173,                0.75072,                0.83315,                0.53838,                 1.2374,                0.67657,                 1.4508,              0.0004878,              0.0004878,              0.0004878
                     35,                0.74977,                0.61148,                 1.1099,                0.89205,                0.75494,                0.83649,                0.53832,                 1.2261,                0.67032,                 1.4652,             0.00048074,             0.00048074,             0.00048074
                     36,                0.73894,                0.58758,                 1.0969,                0.90858,                0.76589,                0.84498,                 0.5346,                 1.2285,                0.66591,                 1.4733,             0.00047367,             0.00047367,             0.00047367
                     37,                0.74331,                0.59144,                 1.0966,                0.89307,                0.76801,                0.84181,                0.54494,                 1.2173,                0.66963,                 1.4405,              0.0004666,              0.0004666,              0.0004666
                     38,                0.73223,                0.58887,                  1.092,                0.90869,                0.75552,                0.83028,                0.55239,                 1.1431,                0.66597,                 1.4026,             0.00045953,             0.00045953,             0.00045953
                     39,                0.73078,                0.57879,                 1.0929,                0.90526,                0.78696,                0.85232,                0.53533,                 1.2883,                 0.6629,                 1.5038,             0.00045246,             0.00045246,             0.00045246
                     40,                0.72619,                0.57293,                 1.0909,                0.91677,                0.78619,                0.85209,                0.55282,                 1.1924,                0.65943,                 1.4362,             0.00044539,             0.00044539,             0.00044539
                     41,                0.72118,                0.56655,                 1.0833,                0.94655,                0.77309,                0.85973,                0.56563,                 1.1748,                0.62385,                 1.4067,             0.00043832,             0.00043832,             0.00043832
